epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8553,1.67866,1.97549,1.40352,0.54182,0.52474,0.47962,0.21293,1.83792,1.57518,1.45081,0.0668358,3.31675e-06,3.31675e-06
2,161.849,1.48254,1.18491,1.29695,0.56586,0.53292,0.53083,0.23184,1.86568,1.51316,1.44022,0.0335058,6.61717e-06,6.61717e-06
3,271.551,1.3801,1.02548,1.24213,0.63676,0.54636,0.57949,0.26255,1.87754,1.36719,1.44031,0.000175722,9.88458e-06,9.88458e-06
4,400.565,1.32577,0.95067,1.21597,0.67119,0.51107,0.58155,0.26998,1.86556,1.31838,1.43708,9.8515e-06,9.8515e-06,9.8515e-06
5,466.882,1.29649,0.89785,1.18873,0.66198,0.57011,0.6073,0.28072,1.85097,1.25657,1.43425,9.802e-06,9.802e-06,9.802e-06
6,533.219,1.26269,0.85892,1.16637,0.67504,0.58269,0.62281,0.28552,1.84355,1.19787,1.44349,9.7525e-06,9.7525e-06,9.7525e-06
7,636.678,1.2681,0.8258,1.1695,0.71417,0.58203,0.64267,0.29532,1.83309,1.18486,1.42705,9.703e-06,9.703e-06,9.703e-06
8,821.413,1.23542,0.83875,1.14949,0.68735,0.6125,0.64171,0.29025,1.88973,1.12593,1.44963,9.6535e-06,9.6535e-06,9.6535e-06
9,1279.06,1.1862,0.79521,1.12475,0.76335,0.59959,0.66045,0.29469,1.89814,1.10958,1.46291,9.604e-06,9.604e-06,9.604e-06
10,1397.9,1.23578,0.82976,1.12896,0.67944,0.66082,0.66762,0.30602,1.8141,1.08962,1.42262,9.5545e-06,9.5545e-06,9.5545e-06
11,1468.66,1.17587,0.75802,1.1204,0.70048,0.64645,0.66539,0.30738,1.83138,1.10586,1.41655,9.505e-06,9.505e-06,9.505e-06
12,1631.9,1.13328,0.72217,1.09369,0.6759,0.65206,0.67052,0.30763,1.82282,1.08966,1.42031,9.4555e-06,9.4555e-06,9.4555e-06
13,1708.04,1.14909,0.74511,1.09681,0.77735,0.6071,0.6832,0.31919,1.78064,1.01256,1.39892,9.406e-06,9.406e-06,9.406e-06
14,1819.95,1.14342,0.72956,1.10983,0.78026,0.64064,0.68506,0.32508,1.79232,1.02168,1.39878,9.3565e-06,9.3565e-06,9.3565e-06
15,1894.43,1.11516,0.69544,1.09248,0.79744,0.6136,0.6847,0.3326,1.76494,0.994,1.41113,9.307e-06,9.307e-06,9.307e-06
16,1981.62,1.11727,0.69912,1.08802,0.71278,0.69074,0.71004,0.31887,1.84837,0.98142,1.44006,9.2575e-06,9.2575e-06,9.2575e-06
17,2062.87,1.08891,0.6952,1.0791,0.74926,0.63457,0.69212,0.31881,1.78948,1.04699,1.4008,9.208e-06,9.208e-06,9.208e-06
