epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0193,1.55632,1.70757,1.33059,0.47805,0.4416,0.44,0.21628,1.74812,1.71084,1.49999,0.0668907,3.31126e-06,3.31126e-06
2,123.526,1.32834,0.97282,1.20637,0.63051,0.52419,0.56195,0.28082,1.74474,1.33464,1.4741,0.0335607,6.57881e-06,6.57881e-06
3,182.437,1.23458,0.84699,1.14868,0.62075,0.55777,0.57414,0.27519,1.73088,1.28593,1.49489,0.000230531,9.78036e-06,9.78036e-06
4,242.566,1.15978,0.75514,1.10961,0.65271,0.57636,0.58874,0.29121,1.7083,1.23974,1.46173,9.703e-06,9.703e-06,9.703e-06
5,302.278,1.13682,0.74107,1.10689,0.65716,0.571,0.59902,0.29905,1.70585,1.18255,1.4537,9.604e-06,9.604e-06,9.604e-06
6,361.661,1.07417,0.69444,1.06524,0.68392,0.59417,0.61285,0.31076,1.69821,1.13103,1.43892,9.505e-06,9.505e-06,9.505e-06
7,420.727,1.02002,0.66325,1.0541,0.73104,0.57756,0.6316,0.31909,1.69748,1.07074,1.43679,9.406e-06,9.406e-06,9.406e-06
8,482.525,1.02715,0.64255,1.0475,0.64795,0.60393,0.62834,0.31637,1.69923,1.08117,1.4349,9.307e-06,9.307e-06,9.307e-06
9,541.567,1.00921,0.63215,1.02892,0.68889,0.58092,0.6206,0.31961,1.70337,1.07114,1.42326,9.208e-06,9.208e-06,9.208e-06
10,600.465,0.97289,0.62344,1.03144,0.69935,0.60128,0.63466,0.31578,1.71654,1.07256,1.44872,9.109e-06,9.109e-06,9.109e-06
11,659.695,0.96724,0.60217,1.02766,0.73618,0.58484,0.63941,0.32216,1.71895,1.06674,1.45799,9.01e-06,9.01e-06,9.01e-06
12,719.386,0.9119,0.58673,1.00528,0.65297,0.62686,0.64431,0.31444,1.72486,1.09406,1.46487,8.911e-06,8.911e-06,8.911e-06
13,777.897,0.92865,0.58384,1.00734,0.68673,0.63878,0.66171,0.321,1.72485,1.06527,1.44409,8.812e-06,8.812e-06,8.812e-06
